,Satellite Name,Launch Date,Launch Site,lat,lon
69,JCSAT 18,17 December 2019 00:10,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
70,FALCON 9 R/B,17 December 2019 00:10,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
71,ATLAS 5 CENTAUR DEB,17 September 2014 00:10,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
72,ATLAS 5 CENTAUR DEB,17 September 2014 00:10,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
73,ATLAS 5 CENTAUR DEB,17 October 2018 04:15,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
74,ATLAS 5 CENTAUR DEB,17 October 2018 04:15,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
75,ATLAS 5 CENTAUR DEB,17 October 2018 04:15,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
76,ATLAS 5 CENTAUR DEB,17 October 2018 04:15,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
77,ATLAS 5 CENTAUR DEB,17 October 2018 04:15,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
78,CST-100 STARLINER,20 December 2019 11:36,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
79,CST-100 STARLINER,20 December 2019 11:36,"Cape Canaveral Air Force Station, United States",28.491981,-80.580114
80,ALE-2,06 December 2019 08:18,Electron,-39.261579,177.864987
81,ELECTRON KICK STAGE R/B,06 December 2019 08:18,Electron,-39.261579,177.864987
82,ELECTRON R/B,06 December 2019 08:18,Electron,-39.261579,177.864987
83,NOOR 1A,06 December 2019 08:18,Electron,-39.261579,177.864987
84,NOOR 1B,06 December 2019 08:18,Electron,-39.261579,177.864987
85,FOSSASAT-1,06 December 2019 08:18,Electron,-39.261579,177.864987
86,TRSI,06 December 2019 08:18,Electron,-39.261579,177.864987
87,ATL-1,06 December 2019 08:18,Electron,-39.261579,177.864987
88,SMOG-P,06 December 2019 08:18,Electron,-39.261579,177.864987
89,PROGRESS MS-13,06 December 2019 09:34,"Baikonur Cosmodrome, Kazakhstan",45.964287,63.305521999999996
90,PROGRESS MS-13,06 December 2019 09:34,"Baikonur Cosmodrome, Kazakhstan",45.9645851,63.3030541
91,SL-4 R/B,06 December 2019 09:34,"Baikonur Cosmodrome, Kazakhstan",45.964287,63.305521999999996
92,SL-4 R/B,06 December 2019 09:34,"Baikonur Cosmodrome, Kazakhstan",45.9645851,63.3030541
93,SL-12 DEB,02 September 2010 00:53,"Baikonur Cosmodrome, Kazakhstan",45.964287,63.305521999999996
94,SL-12 DEB,02 September 2010 00:53,"Baikonur Cosmodrome, Kazakhstan",45.9645851,63.3030541
95,SL-12 DEB,02 September 2010 00:53,"Baikonur Cosmodrome, Kazakhstan",45.964287,63.305521999999996
96,SL-12 DEB,02 September 2010 00:53,"Baikonur Cosmodrome, Kazakhstan",45.9645851,63.3030541
97,SL-12 DEB,02 September 2010 00:53,"Baikonur Cosmodrome, Kazakhstan",45.964287,63.305521999999996
98,SL-12 DEB,02 September 2010 00:53,"Baikonur Cosmodrome, Kazakhstan",45.9645851,63.3030541
99,SL-12 DEB,01 March 2010 21:19,"Baikonur Cosmodrome, Kazakhstan",45.964287,63.305521999999996
100,SL-12 DEB,01 March 2010 21:19,"Baikonur Cosmodrome, Kazakhstan",45.9645851,63.3030541
101,ELEKTRO-L 3,24 December 2019 12:03,"Baikonur Cosmodrome, Kazakhstan",45.964287,63.305521999999996
102,ELEKTRO-L 3,24 December 2019 12:03,"Baikonur Cosmodrome, Kazakhstan",45.9645851,63.3030541
103,BLOCK DM-SL R/B,24 December 2019 12:03,"Baikonur Cosmodrome, Kazakhstan",45.964287,63.305521999999996
104,BLOCK DM-SL R/B,24 December 2019 12:03,"Baikonur Cosmodrome, Kazakhstan",45.9645851,63.3030541
105,ELEKTRO-L 3,24 December 2019 12:03,"Baikonur Cosmodrome, Kazakhstan",45.964287,63.305521999999996
106,ELEKTRO-L 3,24 December 2019 12:03,"Baikonur Cosmodrome, Kazakhstan",45.9645851,63.3030541
107,BLOCK DM-SL R/B,24 December 2019 12:03,"Baikonur Cosmodrome, Kazakhstan",45.964287,63.305521999999996
108,BLOCK DM-SL R/B,24 December 2019 12:03,"Baikonur Cosmodrome, Kazakhstan",45.9645851,63.3030541
109,BEIDOU 3M19,16 December 2019 07:22,"Xichang Satellite Launch Center, China",27.8907315,102.24347990000001
110,BEIDOU 3M20,16 December 2019 07:22,"Xichang Satellite Launch Center, China",27.8907315,102.24347990000001
111,YZ-1 R/B,16 December 2019 07:22,"Xichang Satellite Launch Center, China",27.8907315,102.24347990000001
112,CZ-3B R/B,16 December 2019 07:22,"Xichang Satellite Launch Center, China",27.8907315,102.24347990000001
113,CSG-1,18 December 2019 08:54,"Centre Spatial Guyanais , French Guiana",4.886284799999999,-53.068969200000005
114,CHEOPS,18 December 2019 08:54,"Centre Spatial Guyanais , French Guiana",4.886284799999999,-53.068969200000005
115,ASAP -S,18 December 2019 08:54,"Centre Spatial Guyanais , French Guiana",4.886284799999999,-53.068969200000005
116,ANGELS,18 December 2019 08:54,"Centre Spatial Guyanais , French Guiana",4.886284799999999,-53.068969200000005
117,EYESAT-NANO,18 December 2019 08:54,"Centre Spatial Guyanais , French Guiana",4.886284799999999,-53.068969200000005
118,OPS-SAT,18 December 2019 08:54,"Centre Spatial Guyanais , French Guiana",4.886284799999999,-53.068969200000005
119,SJ-7 DEB,05 July 2005 22:40,"Jiuquan Satellite Launch Center, China",40.9845227,100.19118540000001
120,SJ-7 DEB,05 July 2005 22:40,"Jiuquan Satellite Launch Center, China",40.9845227,100.19118540000001
121,SJ-7 DEB,05 July 2005 22:40,"Jiuquan Satellite Launch Center, China",40.9845227,100.19118540000001
122,SJ-7 DEB,05 July 2005 22:40,"Jiuquan Satellite Launch Center, China",40.9845227,100.19118540000001
123,RS-44,26 December 2019 23:11,Amateur radio ,,
124,RS-44,26 December 2019 23:11,Amateur radio ,,
